"","id","firstname","surname","born","died","bornCountry","bornCountryCode","gender","year","category","share","age"
"1",1,"Wilhelm Conrad","Röntgen",1845,"1923-02-10","Prussia (now Germany)","DE","male",1901,"physics",1,56
"2",2,"Hendrik Antoon","Lorentz",1853,"1928-02-04","the Netherlands","NL","male",1902,"physics",2,49
"3",3,"Pieter","Zeeman",1865,"1943-10-09","the Netherlands","NL","male",1902,"physics",2,37
"4",4,"Antoine Henri","Becquerel",1852,"1908-08-25","France","FR","male",1903,"physics",2,51
"5",5,"Pierre","Curie",1859,"1906-04-19","France","FR","male",1903,"physics",4,44
"6",6,"Marie","Curie, née Sklodowska",1867,"1934-07-04","Russian Empire (now Poland)","PL","female",1903,"physics",4,36
"7",6,"Marie","Curie, née Sklodowska",1867,"1934-07-04","Russian Empire (now Poland)","PL","female",1911,"chemistry",1,44
"8",8,"Lord Rayleigh","(John William Strutt)",1842,"1919-06-30","United Kingdom","GB","male",1904,"physics",1,62
"9",9,"Philipp Eduard Anton","von Lenard",1862,"1947-05-20","Hungary (now Slovakia)","SK","male",1905,"physics",1,43
"10",10,"Joseph John","Thomson",1856,"1940-08-30","United Kingdom","GB","male",1906,"physics",1,50
"11",11,"Albert Abraham","Michelson",1852,"1931-05-09","Prussia (now Poland)","PL","male",1907,"physics",1,55
"12",12,"Gabriel","Lippmann",1845,"1921-07-13","Luxembourg","LU","male",1908,"physics",1,63
"13",13,"Guglielmo","Marconi",1874,"1937-07-20","Italy","IT","male",1909,"physics",2,35
"14",14,"Karl Ferdinand","Braun",1850,"1918-04-20","Hesse-Kassel (now Germany)","DE","male",1909,"physics",2,59
"15",15,"Johannes Diderik","van der Waals",1837,"1923-03-08","the Netherlands","NL","male",1910,"physics",1,73
"16",16,"Wilhelm","Wien",1864,"1928-08-30","Prussia (now Russia)","RU","male",1911,"physics",1,47
"17",17,"Nils Gustaf","Dalén",1869,"1937-12-09","Sweden","SE","male",1912,"physics",1,43
"18",18,"Heike","Kamerlingh Onnes",1853,"1926-02-21","the Netherlands","NL","male",1913,"physics",1,60
"19",19,"Max","von Laue",1879,"1960-04-23","Germany","DE","male",1914,"physics",1,35
"20",20,"Sir William Henry","Bragg",1862,"1942-03-12","United Kingdom","GB","male",1915,"physics",2,53
"21",21,"William Lawrence","Bragg",1890,"1971-07-01","Australia","AU","male",1915,"physics",2,25
"22",22,"Charles Glover","Barkla",1877,"1944-10-23","United Kingdom","GB","male",1917,"physics",1,40
"23",23,"Max Karl Ernst Ludwig","Planck",1858,"1947-10-04","Schleswig (now Germany)","DE","male",1918,"physics",1,60
"24",24,"Johannes","Stark",1874,"1957-06-21","Germany","DE","male",1919,"physics",1,45
"25",25,"Charles Edouard","Guillaume",1861,"1938-06-13","Switzerland","CH","male",1920,"physics",1,59
"26",26,"Albert","Einstein",1879,"1955-04-18","Germany","DE","male",1921,"physics",1,42
"27",27,"Niels Henrik David","Bohr",1885,"1962-11-18","Denmark","DK","male",1922,"physics",1,37
"28",28,"Robert Andrews","Millikan",1868,"1953-12-19","USA","US","male",1923,"physics",1,55
"29",29,"Karl Manne Georg","Siegbahn",1886,"1978-09-26","Sweden","SE","male",1924,"physics",1,38
"30",30,"James","Franck",1882,"1964-05-21","Germany","DE","male",1925,"physics",2,43
"31",31,"Gustav Ludwig","Hertz",1887,"1975-10-30","Germany","DE","male",1925,"physics",2,38
"32",32,"Jean Baptiste","Perrin",1870,"1942-04-17","France","FR","male",1926,"physics",1,56
"33",33,"Arthur Holly","Compton",1892,"1962-03-15","USA","US","male",1927,"physics",2,35
"34",34,"Charles Thomson Rees","Wilson",1869,"1959-11-15","Scotland","GB","male",1927,"physics",2,58
"35",35,"Owen Willans","Richardson",1879,"1959-02-15","United Kingdom","GB","male",1928,"physics",1,49
"36",36,"Prince Louis-Victor Pierre Raymond","de Broglie",1892,"1987-03-19","France","FR","male",1929,"physics",1,37
"37",37,"Sir Chandrasekhara Venkata","Raman",1888,"1970-11-21","India","IN","male",1930,"physics",1,42
"38",38,"Werner Karl","Heisenberg",1901,"1976-02-01","Germany","DE","male",1932,"physics",1,31
"39",39,"Erwin","Schrödinger",1887,"1961-01-04","Austria","AT","male",1933,"physics",2,46
"40",40,"Paul Adrien Maurice","Dirac",1902,"1984-10-20","United Kingdom","GB","male",1933,"physics",2,31
"41",41,"James","Chadwick",1891,"1974-07-24","United Kingdom","GB","male",1935,"physics",1,44
"42",42,"Victor Franz","Hess",1883,"1964-12-17","Austria","AT","male",1936,"physics",2,53
"43",43,"Carl David","Anderson",1905,"1991-01-11","USA","US","male",1936,"physics",2,31
"44",44,"Clinton Joseph","Davisson",1881,"1958-02-01","USA","US","male",1937,"physics",2,56
"45",45,"George Paget","Thomson",1892,"1975-09-10","United Kingdom","GB","male",1937,"physics",2,45
"46",46,"Enrico","Fermi",1901,"1954-11-28","Italy","IT","male",1938,"physics",1,37
"47",47,"Ernest Orlando","Lawrence",1901,"1958-08-27","USA","US","male",1939,"physics",1,38
"48",48,"Otto","Stern",1888,"1969-08-17","Germany (now Poland)","PL","male",1943,"physics",1,55
"49",49,"Isidor Isaac","Rabi",1898,"1988-01-11","Austria-Hungary (now Poland)","PL","male",1944,"physics",1,46
"50",50,"Wolfgang","Pauli",1900,"1958-12-15","Austria","AT","male",1945,"physics",1,45
"51",51,"Percy Williams","Bridgman",1882,"1961-08-20","USA","US","male",1946,"physics",1,64
"52",52,"Sir Edward Victor","Appleton",1892,"1965-04-21","United Kingdom","GB","male",1947,"physics",1,55
"53",53,"Patrick Maynard Stuart","Blackett",1897,"1974-07-13","United Kingdom","GB","male",1948,"physics",1,51
"54",54,"Hideki","Yukawa",1907,"1981-09-08","Japan","JP","male",1949,"physics",1,42
"55",54,"Hideki","Yukawa",1907,"1981-09-08","Japan","JP","male",1949,"physics",1,42
"56",55,"Cecil Frank","Powell",1903,"1969-08-09","United Kingdom","GB","male",1950,"physics",1,47
"57",56,"Sir John Douglas","Cockcroft",1897,"1967-09-18","United Kingdom","GB","male",1951,"physics",2,54
"58",57,"Ernest Thomas Sinton","Walton",1903,"1995-06-25","Ireland","IE","male",1951,"physics",2,48
"59",58,"Felix","Bloch",1905,"1983-09-10","Switzerland","CH","male",1952,"physics",2,47
"60",59,"Edward Mills","Purcell",1912,"1997-03-07","USA","US","male",1952,"physics",2,40
"61",60,"Frits (Frederik)","Zernike",1888,"1966-03-10","the Netherlands","NL","male",1953,"physics",1,65
"62",61,"Max","Born",1882,"1970-01-05","Germany (now Poland)","PL","male",1954,"physics",2,72
"63",62,"Walther","Bothe",1891,"1957-02-08","Germany","DE","male",1954,"physics",2,63
"64",62,"Walther","Bothe",1891,"1957-02-08","Germany","DE","male",1954,"physics",2,63
"65",63,"Willis Eugene","Lamb",1913,"2008-05-15","USA","US","male",1955,"physics",2,42
"66",64,"Polykarp","Kusch",1911,"1993-03-20","Germany","DE","male",1955,"physics",2,44
"67",65,"William Bradford","Shockley",1910,"1989-08-12","United Kingdom","GB","male",1956,"physics",3,46
"68",66,"John","Bardeen",1908,"1991-01-30","USA","US","male",1956,"physics",3,48
"69",66,"John","Bardeen",1908,"1991-01-30","USA","US","male",1972,"physics",3,64
"70",67,"Walter Houser","Brattain",1902,"1987-10-13","China","CN","male",1956,"physics",3,54
"71",68,"Chen Ning","Yang",1922,"0000-00-00","China","CN","male",1957,"physics",2,35
"72",69,"Tsung-Dao (T.D.)","Lee",1926,"0000-00-00","China","CN","male",1957,"physics",2,31
"73",70,"Pavel Alekseyevich","Cherenkov",1904,"1990-01-06","Russia","RU","male",1958,"physics",3,54
"74",71,"Igor Yevgenyevich","Tamm",1895,"1971-04-12","Russia","RU","male",1958,"physics",3,63
"75",71,"Igor Yevgenyevich","Tamm",1895,"1971-04-12","Russia","RU","male",1958,"physics",3,63
"76",72,"Emilio Gino","Segrè",1905,"1989-04-22","Italy","IT","male",1959,"physics",2,54
"77",73,"Owen","Chamberlain",1920,"2006-02-28","USA","US","male",1959,"physics",2,39
"78",74,"Donald Arthur","Glaser",1926,"2013-02-28","USA","US","male",1960,"physics",1,34
"79",75,"Robert","Hofstadter",1915,"1990-11-17","USA","US","male",1961,"physics",2,46
"80",76,"Rudolf Ludwig","Mössbauer",1929,"2011-09-14","Germany","DE","male",1961,"physics",2,32
"81",76,"Rudolf Ludwig","Mössbauer",1929,"2011-09-14","Germany","DE","male",1961,"physics",2,32
"82",77,"Lev Davidovich","Landau",1908,"1968-04-01","Russian Empire (now Azerbaijan)","AZ","male",1962,"physics",1,54
"83",78,"Eugene Paul","Wigner",1902,"1995-01-01","Austria-Hungary (now Hungary)","HU","male",1963,"physics",2,61
"84",79,"Maria","Goeppert Mayer",1906,"1972-02-20","Germany (now Poland)","PL","female",1963,"physics",4,57
"85",80,"J. Hans D.","Jensen",1907,"1973-02-11","Germany","DE","male",1963,"physics",4,56
"86",81,"Charles Hard","Townes",1915,"0000-00-00","USA","US","male",1964,"physics",2,49
"87",82,"Nicolay Gennadiyevich","Basov",1922,"2001-07-01","USSR (now Russia)","RU","male",1964,"physics",4,42
"88",83,"Aleksandr Mikhailovich","Prokhorov",1916,"2002-01-08","Australia","AU","male",1964,"physics",4,48
"89",84,"Sin-Itiro","Tomonaga",1906,"1979-07-08","Japan","JP","male",1965,"physics",3,59
"90",85,"Julian","Schwinger",1918,"1994-07-16","USA","US","male",1965,"physics",3,47
"91",86,"Richard P.","Feynman",1918,"1988-02-15","USA","US","male",1965,"physics",3,47
"92",87,"Alfred","Kastler",1902,"1984-01-07","Germany (now France)","FR","male",1966,"physics",1,64
"93",88,"Hans Albrecht","Bethe",1906,"2005-03-06","Germany (now France)","FR","male",1967,"physics",1,61
"94",89,"Luis Walter","Alvarez",1911,"1988-09-01","USA","US","male",1968,"physics",1,57
"95",90,"Murray","Gell-Mann",1929,"0000-00-00","USA","US","male",1969,"physics",1,40
"96",91,"Hannes Olof Gösta","Alfvén",1908,"1995-04-02","Sweden","SE","male",1970,"physics",2,62
"97",92,"Louis Eugène Félix","Néel",1904,"2000-11-17","France","FR","male",1970,"physics",2,66
"98",93,"Dennis","Gabor",1900,"1979-02-08","Hungary","HU","male",1971,"physics",1,71
"99",95,"Leon Neil","Cooper",1930,"0000-00-00","USA","US","male",1972,"physics",3,42
"100",96,"John Robert","Schrieffer",1931,"0000-00-00","USA","US","male",1972,"physics",3,41
"101",97,"Leo","Esaki",1925,"0000-00-00","Japan","JP","male",1973,"physics",4,48
"102",98,"Ivar","Giaever",1929,"0000-00-00","Norway","NO","male",1973,"physics",4,44
"103",99,"Brian David","Josephson",1940,"0000-00-00","United Kingdom","GB","male",1973,"physics",2,33
"104",100,"Sir Martin","Ryle",1918,"1984-10-14","United Kingdom","GB","male",1974,"physics",2,56
"105",101,"Antony","Hewish",1924,"0000-00-00","United Kingdom","GB","male",1974,"physics",2,50
"106",102,"Aage Niels","Bohr",1922,"2009-09-08","Denmark","DK","male",1975,"physics",3,53
"107",103,"Ben Roy","Mottelson",1926,"0000-00-00","USA","US","male",1975,"physics",3,49
"108",104,"Leo James","Rainwater",1917,"1986-03-31","USA","US","male",1975,"physics",3,58
"109",105,"Burton","Richter",1931,"0000-00-00","USA","US","male",1976,"physics",2,45
"110",106,"Samuel Chao Chung","Ting",1936,"0000-00-00","USA","US","male",1976,"physics",2,40
"111",107,"Philip Warren","Anderson",1923,"0000-00-00","USA","US","male",1977,"physics",3,54
"112",108,"Sir Nevill Francis","Mott",1905,"1996-08-08","United Kingdom","GB","male",1977,"physics",3,72
"113",109,"John Hasbrouck","van Vleck",1899,"1980-10-27","USA","US","male",1977,"physics",3,78
"114",110,"Pyotr Leonidovich","Kapitsa",1894,"1984-04-08","Russian Empire (now Russia)","RU","male",1978,"physics",2,84
"115",111,"Arno Allan","Penzias",1933,"0000-00-00","Germany","DE","male",1978,"physics",4,45
"116",112,"Robert Woodrow","Wilson",1936,"0000-00-00","USA","US","male",1978,"physics",4,42
"117",113,"Sheldon Lee","Glashow",1932,"0000-00-00","USA","US","male",1979,"physics",3,47
"118",114,"Abdus","Salam",1926,"1996-11-21","India (now Pakistan)","PK","male",1979,"physics",3,53
"119",114,"Abdus","Salam",1926,"1996-11-21","India (now Pakistan)","PK","male",1979,"physics",3,53
"120",115,"Steven","Weinberg",1933,"0000-00-00","USA","US","male",1979,"physics",3,46
"121",116,"James Watson","Cronin",1931,"0000-00-00","USA","US","male",1980,"physics",2,49
"122",117,"Val Logsdon","Fitch",1923,"0000-00-00","USA","US","male",1980,"physics",2,57
"123",118,"Nicolaas","Bloembergen",1920,"0000-00-00","the Netherlands","NL","male",1981,"physics",4,61
"124",119,"Arthur Leonard","Schawlow",1921,"1999-04-28","USA","US","male",1981,"physics",4,60
"125",120,"Kai M.","Siegbahn",1918,"2007-07-20","Sweden","SE","male",1981,"physics",2,63
"126",121,"Kenneth G.","Wilson",1936,"2013-06-15","USA","US","male",1982,"physics",1,46
"127",122,"Subramanyan","Chandrasekhar",1910,"1995-08-21","India (now Pakistan)","PK","male",1983,"physics",2,73
"128",123,"William Alfred","Fowler",1911,"1995-03-14","USA","US","male",1983,"physics",2,72
"129",124,"Carlo","Rubbia",1934,"0000-00-00","Italy","IT","male",1984,"physics",2,50
"130",125,"Simon","van der Meer",1925,"2011-03-04","the Netherlands","NL","male",1984,"physics",2,59
"131",126,"Klaus","von Klitzing",1943,"0000-00-00","German-occupied Poland (now Poland)","PL","male",1985,"physics",1,42
"132",127,"Ernst","Ruska",1906,"1988-05-27","Germany","DE","male",1986,"physics",2,80
"133",128,"Gerd","Binnig",1947,"0000-00-00","West Germany (now Germany)","DE","male",1986,"physics",4,39
"134",129,"Heinrich","Rohrer",1933,"2013-05-16","Switzerland","CH","male",1986,"physics",4,53
"135",130,"J. Georg","Bednorz",1950,"0000-00-00","West Germany (now Germany)","DE","male",1987,"physics",2,37
"136",131,"K. Alexander","Müller",1927,"0000-00-00","Switzerland","CH","male",1987,"physics",2,60
"137",132,"Leon M.","Lederman",1922,"0000-00-00","USA","US","male",1988,"physics",3,66
"138",133,"Melvin","Schwartz",1932,"2006-08-28","USA","US","male",1988,"physics",3,56
"139",134,"Jack","Steinberger",1921,"0000-00-00","Germany","DE","male",1988,"physics",3,67
"140",135,"Norman F.","Ramsey",1915,"2011-11-04","USA","US","male",1989,"physics",2,74
"141",136,"Hans G.","Dehmelt",1922,"0000-00-00","Prussia (now Germany)","DE","male",1989,"physics",4,67
"142",137,"Wolfgang","Paul",1913,"1993-12-07","Germany","DE","male",1989,"physics",4,76
"143",138,"Jerome I.","Friedman",1930,"0000-00-00","USA","US","male",1990,"physics",3,60
"144",139,"Henry W.","Kendall",1926,"1999-02-15","USA","US","male",1990,"physics",3,64
"145",140,"Richard E.","Taylor",1929,"0000-00-00","Canada","CA","male",1990,"physics",3,61
"146",141,"Pierre-Gilles","de Gennes",1932,"2007-05-18","France","FR","male",1991,"physics",1,59
"147",142,"Georges","Charpak",1924,"2010-09-29","Poland","PL","male",1992,"physics",1,68
"148",142,"Georges","Charpak",1924,"2010-09-29","Poland","PL","male",1992,"physics",1,68
"149",143,"Russell A.","Hulse",1950,"0000-00-00","USA","US","male",1993,"physics",2,43
"150",144,"Joseph H.","Taylor Jr.",1941,"0000-00-00","USA","US","male",1993,"physics",2,52
"151",145,"Bertram N.","Brockhouse",1918,"2003-10-13","Canada","CA","male",1994,"physics",2,76
"152",146,"Clifford G.","Shull",1915,"2001-03-31","USA","US","male",1994,"physics",2,79
"153",147,"Martin L.","Perl",1927,"2014-09-30","USA","US","male",1995,"physics",2,68
"154",148,"Frederick","Reines",1918,"1998-08-26","USA","US","male",1995,"physics",2,77
"155",149,"David M.","Lee",1931,"0000-00-00","USA","US","male",1996,"physics",3,65
"156",150,"Douglas D.","Osheroff",1945,"0000-00-00","USA","US","male",1996,"physics",3,51
"157",151,"Robert C.","Richardson",1937,"2013-02-19","USA","US","male",1996,"physics",3,59
"158",152,"Steven","Chu",1948,"0000-00-00","USA","US","male",1997,"physics",3,49
"159",153,"Claude","Cohen-Tannoudji",1933,"0000-00-00","French Algeria (now Algeria)","DZ","male",1997,"physics",3,64
"160",153,"Claude","Cohen-Tannoudji",1933,"0000-00-00","French Algeria (now Algeria)","DZ","male",1997,"physics",3,64
"161",154,"William D.","Phillips",1948,"0000-00-00","USA","US","male",1997,"physics",3,49
"162",155,"Robert B.","Laughlin",1950,"0000-00-00","USA","US","male",1998,"physics",3,48
"163",156,"Horst L.","Störmer",1949,"0000-00-00","West Germany (now Germany)","DE","male",1998,"physics",3,49
"164",157,"Daniel C.","Tsui",1939,"0000-00-00","China","CN","male",1998,"physics",3,59
"165",158,"Gerardus","'t Hooft",1946,"0000-00-00","the Netherlands","NL","male",1999,"physics",2,53
"166",159,"Martinus J.G.","Veltman",1931,"0000-00-00","the Netherlands","NL","male",1999,"physics",2,68
"167",160,"Jacobus Henricus","van 't Hoff",1852,"1911-03-01","the Netherlands","NL","male",1901,"chemistry",1,49
"168",161,"Hermann Emil","Fischer",1852,"1919-07-15","Prussia (now Germany)","DE","male",1902,"chemistry",1,50
"169",162,"Svante August","Arrhenius",1859,"1927-10-02","Sweden","SE","male",1903,"chemistry",1,44
"170",163,"Sir William","Ramsay",1852,"1916-07-23","Scotland","GB","male",1904,"chemistry",1,52
"171",164,"Johann Friedrich Wilhelm Adolf","von Baeyer",1835,"1917-08-20","Prussia (now Germany)","DE","male",1905,"chemistry",1,70
"172",165,"Henri","Moissan",1852,"1907-02-20","France","FR","male",1906,"chemistry",1,54
"173",166,"Eduard","Buchner",1860,"1917-08-13","Bavaria (now Germany)","DE","male",1907,"chemistry",1,47
"174",167,"Ernest","Rutherford",1871,"1937-10-19","New Zealand","NZ","male",1908,"chemistry",1,37
"175",168,"Wilhelm","Ostwald",1853,"1932-04-04","Russian Empire (now Latvia)","LV","male",1909,"chemistry",1,56
"176",169,"Otto","Wallach",1847,"1931-02-26","Germany (now Russia)","RU","male",1910,"chemistry",1,63
"177",172,"Victor","Grignard",1871,"1935-12-13","France","FR","male",1912,"chemistry",2,41
"178",173,"Paul","Sabatier",1854,"1941-08-14","France","FR","male",1912,"chemistry",2,58
"179",174,"Alfred","Werner",1866,"1919-11-15","France","FR","male",1913,"chemistry",1,47
"180",175,"Theodore William","Richards",1868,"1928-04-02","USA","US","male",1914,"chemistry",1,46
"181",176,"Richard Martin","Willstätter",1872,"1942-08-03","Germany","DE","male",1915,"chemistry",1,43
"182",177,"Fritz","Haber",1868,"1934-01-29","Prussia (now Poland)","PL","male",1918,"chemistry",1,50
"183",178,"Walther Hermann","Nernst",1864,"1941-11-18","Prussia (now Germany)","DE","male",1920,"chemistry",1,56
"184",179,"Frederick","Soddy",1877,"1956-09-22","United Kingdom","GB","male",1921,"chemistry",1,44
"185",180,"Francis William","Aston",1877,"1945-11-20","United Kingdom","GB","male",1922,"chemistry",1,45
"186",181,"Fritz","Pregl",1869,"1930-12-13","Austria-Hungary (now Slovenia)","SI","male",1923,"chemistry",1,54
"187",182,"Richard Adolf","Zsigmondy",1865,"1929-09-24","Austrian Empire (now Austria)","AT","male",1925,"chemistry",1,60
"188",183,"The (Theodor)","Svedberg",1884,"1971-02-25","Sweden","SE","male",1926,"chemistry",1,42
"189",184,"Heinrich Otto","Wieland",1877,"1957-08-05","Germany","DE","male",1927,"chemistry",1,50
"190",185,"Adolf Otto Reinhold","Windaus",1876,"1959-06-09","Germany","DE","male",1928,"chemistry",1,52
"191",186,"Arthur","Harden",1865,"1940-06-17","United Kingdom","GB","male",1929,"chemistry",2,64
"192",187,"Hans Karl August Simon","von Euler-Chelpin",1873,"1964-11-06","Germany","DE","male",1929,"chemistry",2,56
"193",188,"Hans","Fischer",1881,"1945-03-31","Germany","DE","male",1930,"chemistry",1,49
"194",189,"Carl","Bosch",1874,"1940-04-26","Germany","DE","male",1931,"chemistry",2,57
"195",189,"Carl","Bosch",1874,"1940-04-26","Germany","DE","male",1931,"chemistry",2,57
"196",190,"Friedrich","Bergius",1884,"1949-03-30","Germany (now Poland)","PL","male",1931,"chemistry",2,47
"197",190,"Friedrich","Bergius",1884,"1949-03-30","Germany (now Poland)","PL","male",1931,"chemistry",2,47
"198",191,"Irving","Langmuir",1881,"1957-08-16","USA","US","male",1932,"chemistry",1,51
"199",192,"Harold Clayton","Urey",1893,"1981-01-05","USA","US","male",1934,"chemistry",1,41
"200",193,"Frédéric","Joliot",1900,"1958-08-14","France","FR","male",1935,"chemistry",2,35
"201",194,"Irène","Joliot-Curie",1897,"1956-03-17","France","FR","female",1935,"chemistry",2,38
"202",195,"Petrus (Peter) Josephus Wilhelmus","Debye",1884,"1966-11-02","the Netherlands","NL","male",1936,"chemistry",1,52
"203",195,"Petrus (Peter) Josephus Wilhelmus","Debye",1884,"1966-11-02","the Netherlands","NL","male",1936,"chemistry",1,52
"204",196,"Walter Norman","Haworth",1883,"1950-03-19","United Kingdom","GB","male",1937,"chemistry",2,54
"205",197,"Paul","Karrer",1889,"1971-06-18","Russia","RU","male",1937,"chemistry",2,48
"206",198,"Richard","Kuhn",1900,"1967-08-01","Austria-Hungary (now Austria)","AT","male",1938,"chemistry",1,38
"207",198,"Richard","Kuhn",1900,"1967-08-01","Austria-Hungary (now Austria)","AT","male",1938,"chemistry",1,38
"208",199,"Adolf Friedrich Johann","Butenandt",1903,"1995-01-18","Germany","DE","male",1939,"chemistry",2,36
"209",199,"Adolf Friedrich Johann","Butenandt",1903,"1995-01-18","Germany","DE","male",1939,"chemistry",2,36
"210",200,"Leopold","Ruzicka",1887,"1976-09-26","Austria-Hungary (now Croatia)","HR","male",1939,"chemistry",2,52
"211",201,"George","de Hevesy",1885,"1966-07-05","Austria-Hungary (now Hungary)","HU","male",1943,"chemistry",1,58
"212",202,"Otto","Hahn",1879,"1968-07-28","Germany","DE","male",1944,"chemistry",1,65
"213",203,"Artturi Ilmari","Virtanen",1895,"1973-11-11","Russian Empire (now Finland)","FI","male",1945,"chemistry",1,50
"214",204,"James Batcheller","Sumner",1887,"1955-08-12","USA","US","male",1946,"chemistry",2,59
"215",205,"John Howard","Northrop",1891,"1987-05-27","USA","US","male",1946,"chemistry",4,55
"216",206,"Wendell Meredith","Stanley",1904,"1971-06-15","USA","US","male",1946,"chemistry",4,42
"217",207,"Sir Robert","Robinson",1886,"1975-02-08","United Kingdom","GB","male",1947,"chemistry",1,61
"218",208,"Arne Wilhelm Kaurin","Tiselius",1902,"1971-10-29","Sweden","SE","male",1948,"chemistry",1,46
"219",209,"William Francis","Giauque",1895,"1982-03-28","Canada","CA","male",1949,"chemistry",1,54
