"","id","firstname","surname","born","died","bornCountry","bornCountryCode","gender","year","category","share","age"
"681",672,"Seamus","Heaney",1939,"2013-08-30","Northern Ireland","GB","male",1995,"literature",1,56
"682",673,"Wislawa","Szymborska",1923,"2012-02-01","Poland","PL","female",1996,"literature",1,73
"683",674,"Dario","Fo",1926,"0000-00-00","Italy","IT","male",1997,"literature",1,71
"684",675,"José","Saramago",1922,"2010-06-18","Portugal","PT","male",1998,"literature",1,76
"685",676,"Günter","Grass",1927,"0000-00-00","Free City of Danzig (now Poland)","PL","male",1999,"literature",1,72
"686",677,"Ragnar","Frisch",1895,"1973-01-31","Norway","NO","male",1969,"economics",2,74
"687",678,"Jan","Tinbergen",1903,"1994-06-09","the Netherlands","NL","male",1969,"economics",2,66
"688",679,"Paul A.","Samuelson",1915,"2009-12-13","USA","US","male",1970,"economics",1,55
"689",680,"Simon","Kuznets",1901,"1985-07-08","Russian Empire (now Belarus)","BY","male",1971,"economics",1,70
"690",681,"John R.","Hicks",1904,"1989-05-20","United Kingdom","GB","male",1972,"economics",2,68
"691",682,"Kenneth J.","Arrow",1921,"0000-00-00","USA","US","male",1972,"economics",2,51
"692",683,"Wassily","Leontief",1906,"1999-02-05","Russia","RU","male",1973,"economics",1,67
"693",684,"Gunnar","Myrdal",1898,"1987-05-17","Sweden","SE","male",1974,"economics",2,76
"694",685,"Friedrich August","von Hayek",1899,"1992-03-23","Austria","AT","male",1974,"economics",2,75
"695",686,"Leonid Vitaliyevich","Kantorovich",1912,"1986-04-07","Russian Empire (now Russia)","RU","male",1975,"economics",2,63
"696",687,"Tjalling C.","Koopmans",1910,"1985-02-26","the Netherlands","NL","male",1975,"economics",2,65
"697",688,"Milton","Friedman",1912,"2006-11-16","USA","US","male",1976,"economics",1,64
"698",689,"Bertil","Ohlin",1899,"1979-08-03","Sweden","SE","male",1977,"economics",2,78
"699",690,"James E.","Meade",1907,"1995-12-22","United Kingdom","GB","male",1977,"economics",2,70
"700",691,"Herbert A.","Simon",1916,"2001-02-09","USA","US","male",1978,"economics",1,62
"701",692,"Theodore W.","Schultz",1902,"1998-02-26","USA","US","male",1979,"economics",2,77
"702",693,"Sir Arthur","Lewis",1915,"1991-06-15","British West Indies (now Saint Lucia)","LC","male",1979,"economics",2,64
"703",694,"Lawrence R.","Klein",1920,"2013-10-20","USA","US","male",1980,"economics",1,60
"704",695,"James","Tobin",1918,"2002-03-11","USA","US","male",1981,"economics",1,63
"705",696,"George J.","Stigler",1911,"1991-12-01","USA","US","male",1982,"economics",1,71
"706",697,"Gerard","Debreu",1921,"2004-12-31","France","FR","male",1983,"economics",1,62
"707",698,"Richard","Stone",1913,"1991-12-06","United Kingdom","GB","male",1984,"economics",1,71
"708",699,"Franco","Modigliani",1918,"2003-09-25","Italy","IT","male",1985,"economics",1,67
"709",700,"James M.","Buchanan Jr.",1919,"2013-01-09","USA","US","male",1986,"economics",1,67
"710",701,"Robert M.","Solow",1924,"0000-00-00","USA","US","male",1987,"economics",1,63
"711",702,"Maurice","Allais",1911,"2010-10-09","France","FR","male",1988,"economics",1,77
"712",703,"Trygve","Haavelmo",1911,"1999-07-26","Norway","NO","male",1989,"economics",1,78
"713",704,"Harry M.","Markowitz",1927,"0000-00-00","USA","US","male",1990,"economics",3,63
"714",705,"Merton H.","Miller",1923,"2000-06-03","USA","US","male",1990,"economics",3,67
"715",706,"William F.","Sharpe",1934,"0000-00-00","USA","US","male",1990,"economics",3,56
"716",707,"Ronald H.","Coase",1910,"2013-09-02","United Kingdom","GB","male",1991,"economics",1,81
"717",708,"Gary S.","Becker",1930,"2014-05-03","USA","US","male",1992,"economics",1,62
"718",709,"Robert W.","Fogel",1927,"2013-06-11","USA","US","male",1993,"economics",2,66
"719",710,"Douglass C.","North",1920,"0000-00-00","USA","US","male",1993,"economics",2,73
"720",711,"John C.","Harsanyi",1920,"2000-08-09","Hungary","HU","male",1994,"economics",3,74
"721",712,"John F.","Nash Jr.",1928,"0000-00-00","USA","US","male",1994,"economics",3,66
"722",713,"Reinhard","Selten",1930,"0000-00-00","Germany (now Poland)","PL","male",1994,"economics",3,64
"723",714,"Robert E.","Lucas Jr.",1937,"0000-00-00","USA","US","male",1995,"economics",1,58
"724",715,"James A.","Mirrlees",1936,"0000-00-00","Scotland","GB","male",1996,"economics",2,60
"725",716,"William","Vickrey",1914,"1996-10-11","Canada","CA","male",1996,"economics",2,82
"726",717,"Robert C.","Merton",1944,"0000-00-00","USA","US","male",1997,"economics",2,53
"727",718,"Myron S.","Scholes",1941,"0000-00-00","Canada","CA","male",1997,"economics",2,56
"728",719,"Amartya","Sen",1933,"0000-00-00","India","IN","male",1998,"economics",1,65
"729",720,"Robert A.","Mundell",1932,"0000-00-00","Canada","CA","male",1999,"economics",1,67
"730",721,"Il´ja Mikhailovich","Frank",1908,"1990-06-22","Russia","RU","male",1958,"physics",3,50
"731",721,"Il´ja Mikhailovich","Frank",1908,"1990-06-22","Russia","RU","male",1958,"physics",3,50
"732",722,"Arvid","Carlsson",1923,"0000-00-00","Sweden","SE","male",2000,"medicine",3,77
"733",723,"Paul","Greengard",1925,"0000-00-00","USA","US","male",2000,"medicine",3,75
"734",724,"Eric R.","Kandel",1929,"0000-00-00","Austria","AT","male",2000,"medicine",3,71
"735",725,"Kim","Dae-jung",1925,"2009-08-18","Korea (now South Korea)","KR","male",2000,"peace",1,75
"736",726,"Zhores I.","Alferov",1930,"0000-00-00","USSR (now Belarus)","BY","male",2000,"physics",4,70
"737",727,"Herbert","Kroemer",1928,"0000-00-00","Germany","DE","male",2000,"physics",4,72
"738",728,"Jack S.","Kilby",1923,"2005-06-20","USA","US","male",2000,"physics",2,77
"739",729,"Alan J.","Heeger",1936,"0000-00-00","USA","US","male",2000,"chemistry",3,64
"740",730,"Alan G.","MacDiarmid",1927,"2007-02-07","New Zealand","NZ","male",2000,"chemistry",3,73
"741",731,"Hideki","Shirakawa",1936,"0000-00-00","Japan","JP","male",2000,"chemistry",3,64
"742",732,"James J.","Heckman",1944,"0000-00-00","USA","US","male",2000,"economics",2,56
"743",733,"Daniel L.","McFadden",1937,"0000-00-00","USA","US","male",2000,"economics",2,63
"744",734,"Gao","Xingjian",1940,"0000-00-00","China","CN","male",2000,"literature",1,60
"745",735,"Leland H.","Hartwell",1939,"0000-00-00","USA","US","male",2001,"medicine",3,62
"746",736,"Tim","Hunt",1943,"0000-00-00","United Kingdom","GB","male",2001,"medicine",3,58
"747",737,"Sir Paul M.","Nurse",1949,"0000-00-00","United Kingdom","GB","male",2001,"medicine",3,52
"748",738,"Eric A.","Cornell",1961,"0000-00-00","USA","US","male",2001,"physics",3,40
"749",739,"Wolfgang","Ketterle",1957,"0000-00-00","West Germany (now Germany)","DE","male",2001,"physics",3,44
"750",740,"Carl E.","Wieman",1951,"0000-00-00","USA","US","male",2001,"physics",3,50
"751",741,"William S.","Knowles",1917,"2012-06-13","USA","US","male",2001,"chemistry",4,84
"752",742,"Ryoji","Noyori",1938,"0000-00-00","Japan","JP","male",2001,"chemistry",4,63
"753",743,"K. Barry","Sharpless",1941,"0000-00-00","USA","US","male",2001,"chemistry",2,60
"754",744,"George A.","Akerlof",1940,"0000-00-00","USA","US","male",2001,"economics",3,61
"755",745,"A. Michael","Spence",1943,"0000-00-00","USA","US","male",2001,"economics",3,58
"756",746,"Joseph E.","Stiglitz",1943,"0000-00-00","USA","US","male",2001,"economics",3,58
"757",747,"Sir Vidiadhar Surajprasad","Naipaul",1932,"0000-00-00","Trinidad","TT","male",2001,"literature",1,69
"759",749,"Kofi","Annan",1938,"0000-00-00","Gold Coast (now Ghana)","GH","male",2001,"peace",2,63
"760",750,"Sydney","Brenner",1927,"0000-00-00","South Africa","ZA","male",2002,"medicine",3,75
"761",751,"H. Robert","Horvitz",1947,"0000-00-00","USA","US","male",2002,"medicine",3,55
"762",752,"John E.","Sulston",1942,"0000-00-00","United Kingdom","GB","male",2002,"medicine",3,60
"763",753,"Raymond","Davis Jr.",1914,"2006-05-31","USA","US","male",2002,"physics",4,88
"764",754,"Masatoshi","Koshiba",1926,"0000-00-00","Japan","JP","male",2002,"physics",4,76
"765",755,"Riccardo","Giacconi",1931,"0000-00-00","Italy","IT","male",2002,"physics",2,71
"766",756,"John B.","Fenn",1917,"2010-12-10","USA","US","male",2002,"chemistry",4,85
"767",757,"Koichi","Tanaka",1959,"0000-00-00","Japan","JP","male",2002,"chemistry",4,43
"768",758,"Kurt","Wüthrich",1938,"0000-00-00","Switzerland","CH","male",2002,"chemistry",2,64
"769",758,"Kurt","Wüthrich",1938,"0000-00-00","Switzerland","CH","male",2002,"chemistry",2,64
"770",759,"Daniel","Kahneman",1934,"0000-00-00","British Mandate of Palestine (now Israel)","IL","male",2002,"economics",2,68
"771",760,"Vernon L.","Smith",1927,"0000-00-00","USA","US","male",2002,"economics",2,75
"772",761,"Imre","Kertész",1929,"0000-00-00","Hungary","HU","male",2002,"literature",1,73
"773",762,"Jimmy","Carter",1924,"0000-00-00","USA","US","male",2002,"peace",1,78
"774",763,"John M.","Coetzee",1940,"0000-00-00","South Africa","ZA","male",2003,"literature",1,63
"775",764,"Paul C.","Lauterbur",1929,"2007-03-27","USA","US","male",2003,"medicine",2,74
"776",765,"Sir Peter","Mansfield",1933,"0000-00-00","United Kingdom","GB","male",2003,"medicine",2,70
"777",766,"Alexei A.","Abrikosov",1928,"0000-00-00","USSR (now Russia)","RU","male",2003,"physics",3,75
"778",767,"Vitaly L.","Ginzburg",1916,"2009-11-08","Russia","RU","male",2003,"physics",3,87
"779",768,"Anthony J.","Leggett",1938,"0000-00-00","United Kingdom","GB","male",2003,"physics",3,65
"780",769,"Peter","Agre",1949,"0000-00-00","USA","US","male",2003,"chemistry",2,54
"781",770,"Roderick","MacKinnon",1956,"0000-00-00","USA","US","male",2003,"chemistry",2,47
"782",770,"Roderick","MacKinnon",1956,"0000-00-00","USA","US","male",2003,"chemistry",2,47
"783",771,"Robert F.","Engle III",1942,"0000-00-00","USA","US","male",2003,"economics",2,61
"784",772,"Clive W.J.","Granger",1934,"2009-05-27","United Kingdom","GB","male",2003,"economics",2,69
"785",773,"Shirin","Ebadi",1947,"0000-00-00","Iran","IR","female",2003,"peace",1,56
"786",774,"Richard","Axel",1946,"0000-00-00","USA","US","male",2004,"medicine",2,58
"787",775,"Linda B.","Buck",1947,"0000-00-00","USA","US","female",2004,"medicine",2,57
"788",776,"David J.","Gross",1941,"0000-00-00","USA","US","male",2004,"physics",3,63
"789",777,"H. David","Politzer",1949,"0000-00-00","USA","US","male",2004,"physics",3,55
"790",778,"Frank","Wilczek",1951,"0000-00-00","USA","US","male",2004,"physics",3,53
"791",779,"Aaron","Ciechanover",1947,"0000-00-00","British Protectorate of Palestine (now Israel)","IL","male",2004,"chemistry",3,57
"792",780,"Avram","Hershko",1937,"0000-00-00","Hungary","HU","male",2004,"chemistry",3,67
"793",781,"Irwin","Rose",1926,"0000-00-00","USA","US","male",2004,"chemistry",3,78
"794",782,"Elfriede","Jelinek",1946,"0000-00-00","Austria","AT","female",2004,"literature",1,58
"795",783,"Wangari Muta","Maathai",1940,"2011-09-25","Kenya","KE","female",2004,"peace",1,64
"796",786,"Finn E.","Kydland",1943,"0000-00-00","Norway","NO","male",2004,"economics",2,61
"797",786,"Finn E.","Kydland",1943,"0000-00-00","Norway","NO","male",2004,"economics",2,61
"798",787,"Edward C.","Prescott",1940,"0000-00-00","USA","US","male",2004,"economics",2,64
"799",787,"Edward C.","Prescott",1940,"0000-00-00","USA","US","male",2004,"economics",2,64
"800",789,"Barry J.","Marshall",1951,"0000-00-00","Australia","AU","male",2005,"medicine",2,54
"801",789,"Barry J.","Marshall",1951,"0000-00-00","Australia","AU","male",2005,"medicine",2,54
"802",790,"J. Robin","Warren",1937,"0000-00-00","Australia","AU","male",2005,"medicine",2,68
"803",791,"Roy J.","Glauber",1925,"0000-00-00","USA","US","male",2005,"physics",2,80
"804",792,"John L.","Hall",1934,"0000-00-00","USA","US","male",2005,"physics",4,71
"805",792,"John L.","Hall",1934,"0000-00-00","USA","US","male",2005,"physics",4,71
"806",793,"Theodor W.","Hänsch",1941,"0000-00-00","Germany","DE","male",2005,"physics",4,64
"807",793,"Theodor W.","Hänsch",1941,"0000-00-00","Germany","DE","male",2005,"physics",4,64
"808",794,"Yves","Chauvin",1930,"0000-00-00","Belgium","BE","male",2005,"chemistry",3,75
"809",795,"Robert H.","Grubbs",1942,"0000-00-00","USA","US","male",2005,"chemistry",3,63
"810",796,"Richard R.","Schrock",1945,"0000-00-00","USA","US","male",2005,"chemistry",3,60
"812",798,"Mohamed","ElBaradei",1942,"0000-00-00","Egypt","EG","male",2005,"peace",2,63
"813",799,"Robert J.","Aumann",1930,"0000-00-00","Germany","DE","male",2005,"economics",2,75
"814",800,"Thomas C.","Schelling",1921,"0000-00-00","USA","US","male",2005,"economics",2,84
"815",801,"Harold","Pinter",1930,"2008-12-24","United Kingdom","GB","male",2005,"literature",1,75
"816",802,"Andrew Z.","Fire",1959,"0000-00-00","USA","US","male",2006,"medicine",2,47
"817",803,"Craig C.","Mello",1960,"0000-00-00","USA","US","male",2006,"medicine",2,46
"818",804,"John C.","Mather",1946,"0000-00-00","USA","US","male",2006,"physics",2,60
"819",805,"George F.","Smoot",1945,"0000-00-00","USA","US","male",2006,"physics",2,61
"820",806,"Roger D.","Kornberg",1947,"0000-00-00","USA","US","male",2006,"chemistry",1,59
"821",807,"Edmund S.","Phelps",1933,"0000-00-00","USA","US","male",2006,"economics",1,73
"822",808,"Orhan","Pamuk",1952,"0000-00-00","Turkey","TR","male",2006,"literature",1,54
"823",809,"Muhammad","Yunus",1940,"0000-00-00","British India (now Bangladesh)","BD","male",2006,"peace",2,66
"825",811,"Mario R.","Capecchi",1937,"0000-00-00","Italy","IT","male",2007,"medicine",3,70
"826",811,"Mario R.","Capecchi",1937,"0000-00-00","Italy","IT","male",2007,"medicine",3,70
"827",812,"Sir Martin J.","Evans",1941,"0000-00-00","United Kingdom","GB","male",2007,"medicine",3,66
"828",813,"Oliver","Smithies",1925,"0000-00-00","United Kingdom","GB","male",2007,"medicine",3,82
"829",814,"Albert","Fert",1938,"0000-00-00","France","FR","male",2007,"physics",2,69
"830",814,"Albert","Fert",1938,"0000-00-00","France","FR","male",2007,"physics",2,69
"831",815,"Peter","Grünberg",1939,"0000-00-00","Czechoslovakia (now Czech Republic)","CZ","male",2007,"physics",2,68
"832",816,"Gerhard","Ertl",1936,"0000-00-00","Germany","DE","male",2007,"chemistry",1,71
"833",817,"Doris","Lessing",1919,"2013-11-17","Persia (now Iran)","IR","female",2007,"literature",1,88
"835",819,"Albert Arnold (Al)","Gore Jr.",1948,"0000-00-00","USA","US","male",2007,"peace",2,59
"836",820,"Leonid","Hurwicz",1917,"2008-06-24","Russia","RU","male",2007,"economics",3,90
"837",821,"Eric S.","Maskin",1950,"0000-00-00","USA","US","male",2007,"economics",3,57
"838",822,"Roger B.","Myerson",1951,"0000-00-00","USA","US","male",2007,"economics",3,56
"839",823,"Harald","zur Hausen",1936,"0000-00-00","Germany","DE","male",2008,"medicine",2,72
"840",824,"Françoise","Barré-Sinoussi",1947,"0000-00-00","France","FR","female",2008,"medicine",4,61
"841",825,"Luc","Montagnier",1932,"0000-00-00","France","FR","male",2008,"medicine",4,76
"842",826,"Yoichiro","Nambu",1921,"0000-00-00","Japan","JP","male",2008,"physics",2,87
"843",827,"Makoto","Kobayashi",1944,"0000-00-00","Japan","JP","male",2008,"physics",4,64
"844",828,"Toshihide","Maskawa",1940,"0000-00-00","Japan","JP","male",2008,"physics",4,68
"845",828,"Toshihide","Maskawa",1940,"0000-00-00","Japan","JP","male",2008,"physics",4,68
"846",829,"Osamu","Shimomura",1928,"0000-00-00","Japan","JP","male",2008,"chemistry",3,80
"847",829,"Osamu","Shimomura",1928,"0000-00-00","Japan","JP","male",2008,"chemistry",3,80
"848",830,"Martin","Chalfie",1947,"0000-00-00","USA","US","male",2008,"chemistry",3,61
"849",831,"Roger Y.","Tsien",1952,"0000-00-00","USA","US","male",2008,"chemistry",3,56
"850",831,"Roger Y.","Tsien",1952,"0000-00-00","USA","US","male",2008,"chemistry",3,56
"851",832,"Jean-Marie Gustave","Le Clézio",1940,"0000-00-00","France","FR","male",2008,"literature",1,68
"852",833,"Martti","Ahtisaari",1937,"0000-00-00","Finland (now Russia)","RU","male",2008,"peace",1,71
"853",834,"Paul","Krugman",1953,"0000-00-00","USA","US","male",2008,"economics",1,55
"854",835,"Elizabeth H.","Blackburn",1948,"0000-00-00","Australia","AU","female",2009,"medicine",3,61
"855",836,"Carol W.","Greider",1961,"0000-00-00","USA","US","female",2009,"medicine",3,48
"856",837,"Jack W.","Szostak",1952,"0000-00-00","United Kingdom","GB","male",2009,"medicine",3,57
"857",837,"Jack W.","Szostak",1952,"0000-00-00","United Kingdom","GB","male",2009,"medicine",3,57
"858",837,"Jack W.","Szostak",1952,"0000-00-00","United Kingdom","GB","male",2009,"medicine",3,57
"859",838,"Charles Kuen","Kao",1933,"0000-00-00","China","CN","male",2009,"physics",2,76
"860",838,"Charles Kuen","Kao",1933,"0000-00-00","China","CN","male",2009,"physics",2,76
"861",839,"Willard S.","Boyle",1924,"2011-05-07","Canada","CA","male",2009,"physics",4,85
"862",840,"George E.","Smith",1930,"0000-00-00","USA","US","male",2009,"physics",4,79
"864",842,"Thomas A.","Steitz",1940,"0000-00-00","USA","US","male",2009,"chemistry",3,69
"865",842,"Thomas A.","Steitz",1940,"0000-00-00","USA","US","male",2009,"chemistry",3,69
"866",843,"Ada E.","Yonath",1939,"0000-00-00","British Mandate of Palestine (now Israel)","IL","female",2009,"chemistry",3,70
"867",844,"Herta","Müller",1953,"0000-00-00","Romania","RO","female",2009,"literature",1,56
"868",845,"Barack H.","Obama",1961,"0000-00-00","USA","US","male",2009,"peace",1,48
"869",846,"Elinor","Ostrom",1933,"2012-06-12","USA","US","female",2009,"economics",2,76
"870",846,"Elinor","Ostrom",1933,"2012-06-12","USA","US","female",2009,"economics",2,76
"871",847,"Oliver E.","Williamson",1932,"0000-00-00","USA","US","male",2009,"economics",2,77
"872",848,"Robert G.","Edwards",1925,"2013-04-10","United Kingdom","GB","male",2010,"medicine",1,85
"873",849,"Andre","Geim",1958,"0000-00-00","Russia","RU","male",2010,"physics",2,52
"874",850,"Konstantin","Novoselov",1974,"0000-00-00","Russia","RU","male",2010,"physics",2,36
"875",851,"Richard F.","Heck",1931,"0000-00-00","USA","US","male",2010,"chemistry",3,79
"876",852,"Ei-ichi","Negishi",1935,"0000-00-00","China","CN","male",2010,"chemistry",3,75
"877",853,"Akira","Suzuki",1930,"0000-00-00","Japan","JP","male",2010,"chemistry",3,80
"878",854,"Mario","Vargas Llosa",1936,"0000-00-00","Peru","PE","male",2010,"literature",1,74
"879",855,"Liu","Xiaobo",1955,"0000-00-00","China","CN","male",2010,"peace",1,55
"880",856,"Peter A.","Diamond",1940,"0000-00-00","USA","US","male",2010,"economics",3,70
"881",857,"Dale T.","Mortensen",1939,"2014-01-09","USA","US","male",2010,"economics",3,71
"882",857,"Dale T.","Mortensen",1939,"2014-01-09","USA","US","male",2010,"economics",3,71
"883",858,"Christopher A.","Pissarides",1948,"0000-00-00","Cyprus","CY","male",2010,"economics",3,62
"890",865,"Brian P.","Schmidt",1967,"0000-00-00","USA","US","male",2011,"physics",4,44
"891",866,"Adam G.","Riess",1969,"0000-00-00","USA","US","male",2011,"physics",4,42
"892",866,"Adam G.","Riess",1969,"0000-00-00","USA","US","male",2011,"physics",4,42
"894",868,"Tomas","Tranströmer",1931,"0000-00-00","Sweden","SE","male",2011,"literature",1,80
"895",869,"Ellen","Johnson Sirleaf",1938,"0000-00-00","Liberia","LR","female",2011,"peace",3,73
"897",871,"Tawakkol","Karman",1979,"0000-00-00","Yemen","YE","female",2011,"peace",3,32
"900",874,"Sir John B.","Gurdon",1933,"0000-00-00","United Kingdom","GB","male",2012,"medicine",2,79
"901",875,"Shinya","Yamanaka",1962,"0000-00-00","Japan","JP","male",2012,"medicine",2,50
"902",875,"Shinya","Yamanaka",1962,"0000-00-00","Japan","JP","male",2012,"medicine",2,50
"905",877,"David J.","Wineland",1944,"0000-00-00","USA","US","male",2012,"physics",2,68
"906",877,"David J.","Wineland",1944,"0000-00-00","USA","US","male",2012,"physics",2,68
"907",878,"Robert J.","Lefkowitz",1943,"0000-00-00","USA","US","male",2012,"chemistry",2,69
"908",878,"Robert J.","Lefkowitz",1943,"0000-00-00","USA","US","male",2012,"chemistry",2,69
"912",882,"Alvin E.","Roth",1951,"0000-00-00","USA","US","male",2012,"economics",2,61
"913",882,"Alvin E.","Roth",1951,"0000-00-00","USA","US","male",2012,"economics",2,61
"914",883,"Lloyd S.","Shapley",1923,"0000-00-00","USA","US","male",2012,"economics",2,89
"915",884,"James E.","Rothman",1950,"0000-00-00","USA","US","male",2013,"medicine",3,63
"916",885,"Randy W.","Schekman",1948,"0000-00-00","USA","US","male",2013,"medicine",3,65
"917",885,"Randy W.","Schekman",1948,"0000-00-00","USA","US","male",2013,"medicine",3,65
"918",886,"Thomas C.","Südhof",1955,"0000-00-00","Germany","DE","male",2013,"medicine",3,58
"919",886,"Thomas C.","Südhof",1955,"0000-00-00","Germany","DE","male",2013,"medicine",3,58
"920",887,"François","Englert",1932,"0000-00-00","Belgium","BE","male",2013,"physics",2,81
"921",888,"Peter W.","Higgs",1929,"0000-00-00","United Kingdom","GB","male",2013,"physics",2,84
"922",889,"Martin","Karplus",1930,"0000-00-00","Austria","AT","male",2013,"chemistry",3,83
"923",889,"Martin","Karplus",1930,"0000-00-00","Austria","AT","male",2013,"chemistry",3,83
"924",890,"Michael","Levitt",1947,"0000-00-00","South Africa","ZA","male",2013,"chemistry",3,66
"925",891,"Arieh","Warshel",1940,"0000-00-00","British Mandate of Palestine (now Israel)","IL","male",2013,"chemistry",3,73
"926",892,"Alice","Munro",1931,"0000-00-00","Canada","CA","female",2013,"literature",1,82
"928",894,"Eugene F.","Fama",1939,"0000-00-00","USA","US","male",2013,"economics",3,74
"929",895,"Lars Peter","Hansen",1952,"0000-00-00","USA","US","male",2013,"economics",3,61
"930",896,"Robert J.","Shiller",1946,"0000-00-00","USA","US","male",2013,"economics",3,67
"948",912,"Patrick","Modiano",1945,"0000-00-00","France","FR","male",2014,"literature",1,69
"949",913,"Kailash","Satyarthi",1954,"0000-00-00","India","IN","male",2014,"peace",2,60
"950",914,"Malala","Yousafzai",1997,"0000-00-00","Pakistan","PK","female",2014,"peace",2,17
"951",915,"Jean","Tirole",1953,"0000-00-00","France","FR","male",2014,"economics",1,61
